ap_syndicated,collect_date,feeds,guid,language,media_id,media_name,media_url,metadata,processed_stories_id,publish_date,stories_id,story_tags,title,url,word_count
False,2023-03-24 00:00:17.824912,,https://www.huffpost.com/entry/al-franken-susan-collins-daily-show_n_641d052fe4b01ea5cd938367,en,96720,HuffPost Latino Voices,http://voces.huffingtonpost.com/#spider,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2971869885,2023-03-23 23:31:52,2605025542,[],'Daily Show' Guest Host Al Franken Gives Susan Collins A Blunt Reminder Of Her Failure,https://www.huffpost.com/entry/al-franken-susan-collins-daily-show_n_641d052fe4b01ea5cd938367,
False,2023-03-24 00:01:37.882218,,https://www.nytimes.com/2023/03/23/world/australia/radical-utopia-melbourne-now.html,en,1,New York Times,http://nytimes.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2971871091,2023-03-23 23:52:21,2605026683,[],"Melbourne Art and Design, Past and Present",https://www.nytimes.com/2023/03/23/world/australia/radical-utopia-melbourne-now.html,
False,2023-03-24 00:01:59.762584,,https://www.huffpost.com/entry/al-franken-susan-collins-daily-show_n_641d052fe4b01ea5cd938367,en,27502,HuffPost,http://www.huffingtonpost.com/#,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2971871383,2023-03-23 23:31:52,2605026971,[],'Daily Show' Guest Host Al Franken Gives Susan Collins A Blunt Reminder Of Her Failure,https://www.huffpost.com/entry/al-franken-susan-collins-daily-show_n_641d052fe4b01ea5cd938367,
False,2023-03-24 01:07:22.795233,,https://www.huffpost.com/entry/al-franken-susan-collins-daily-show_n_641d052fe4b01ea5cd938367,en,623375,Huffington Post - United States,http://www.huffingtonpost.com/?country=US,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2971903401,2023-03-23 23:31:52,2605063004,[],‘Daily Show’ Guest Al Franken Gives Susan Collins Blunt Reminder Of Her Failure,https://www.huffpost.com/entry/al-franken-susan-collins-daily-show_n_641d052fe4b01ea5cd938367,
False,2023-03-24 01:12:35.171561,,content_641d2f93bce6ae5e82fca796,en,1104,Forbes,http://www.forbes.com/,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2971908375,2023-03-24 01:08:55,2605068999,[],Is The “Autonomous Supply Chain” A Pipe Dream?,https://www.forbes.com/sites/stevebanker/2023/03/24/is-the-autonomous-supply-chain-a-pipe-dream/,
False,2023-03-24 02:10:50.902264,,https://biztoc.com/x/4e9f4597fe36cf66?ref=ff,en,26357,Upworthy,http://www.upworthy.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2971935254,2023-03-24 01:00:05,2605097363,[],ChatGPT can now access the internet with new OpenAI plugins,https://biztoc.com/x/4e9f4597fe36cf66?ref=ff,
False,2023-03-24 03:45:23.110026,,https://biztoc.com/x/305c8b4863928e15?ref=ff,en,26357,Upworthy,http://www.upworthy.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2971992504,2023-03-24 02:30:05,2605160049,[],"Nvidia Stock, Related ETFs Jump on AI Partnership",https://biztoc.com/x/305c8b4863928e15?ref=ff,
False,2023-03-24 03:52:27.850123,,content_641d4f4bc194a62e4682ad92,en,1104,Forbes,http://www.forbes.com/,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2971998385,2023-03-24 03:23:40,2605165821,[],The Secret To Successful Digital Transformation: It's All About The People,https://www.forbes.com/sites/bernardmarr/2023/03/24/the-secret-to-successful-digital-transformation-its-all-about-the-people/,
False,2023-03-24 04:13:56.937245,,https://www.ibtimes.com/seeking-reset-brazils-lula-heads-china-3680095,en,41550,IBTimes,http://www.ibtimes.com/,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2972004011,2023-03-24 04:00:30,2605171648,[],"Seeking A Reset, Brazil's Lula Heads To China",https://www.ibtimes.com/seeking-reset-brazils-lula-heads-china-3680095,
False,2023-03-24 05:14:52.048197,,https://www.nytimes.com/2023/03/24/opinion/silicon-valley-loudmouth-vcs.html,en,1,New York Times,http://nytimes.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2972036346,2023-03-24 05:00:28,2605207847,[],There’s More to Silicon Valley Than Loudmouth V.C.s on Twitter,https://www.nytimes.com/2023/03/24/opinion/silicon-valley-loudmouth-vcs.html,
False,2023-03-24 05:15:00.434429,,https://www.nytimes.com/2023/03/24/podcasts/hard-fork-bard.html,en,1,New York Times,http://nytimes.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2972036500,2023-03-24 05:00:10,2605208046,[],"Bard Fork, and How to Talk So Chatbots Will Listen",https://www.nytimes.com/2023/03/24/podcasts/hard-fork-bard.html,
False,2023-03-24 06:03:02.179731,,https://www.rawstory.com/robots-are-performing-hindu-rituals-and-some-devotees-fear-theyll-replace-worshippers/,en,1127,Raw Story,http://rawstory.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2972055413,2023-03-24 03:33:52,2605234565,[],Robots are performing Hindu rituals – and some devotees fear they’ll replace worshippers,https://www.rawstory.com/robots-are-performing-hindu-rituals-and-some-devotees-fear-theyll-replace-worshippers/,
False,2023-03-24 06:47:07.961577,,https://www.newsweek.com/deepfakes-could-destroy-2024-election-1790037,en,56510,Newsweek,http://newsweek.com/,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2972091834,2023-03-24 06:37:26,2605269417,[],Deepfakes Could Destroy the 2024 Election,https://www.newsweek.com/deepfakes-could-destroy-2024-election-1790037,
False,2023-03-24 06:55:20.157128,,https://www.nytimes.com/2023/03/24/briefing/campus-free-speech.html,en,1,New York Times,http://nytimes.com,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2972092281,2023-03-24 06:42:49,2605277535,[],Free Speech (or Not) at Stanford,https://www.nytimes.com/2023/03/24/briefing/campus-free-speech.html,
False,2023-03-24 06:55:38.799700,,https://www.newsweek.com/deepfakes-could-destroy-2024-election-1790037,en,1098,Newsweek ,http://www.newsweek.com/,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}",2972092640,2023-03-24 06:37:26,2605277844,[],Deepfakes Could Destroy the 2024 Election,https://www.newsweek.com/deepfakes-could-destroy-2024-election-1790037,
